G***:1
H1:1
H10:1
H11:1
H12:1
H13:1
H14:1
H15:1
H2:1
H20:1
H21:1
H22:1
H23:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
